Year,BFS ID,Municipality,Average Rent CHF per m2,Tax Rate Natural Persons %,Foreigners Share %,Average Household Size,Income per Taxpayer CHF
2019,2762,Allschwil,1386.3909799190794,58.0,27.54,2.09,69297.68020034909
2019,2841,Anwil,1273.541876066167,63.0,6.06,2.44,55915.967551622416
2019,2881,Arboldswil,1297.855975071662,60.0,6.41,2.41,71971.13687150838
2019,2821,Arisdorf,1492.762047163475,59.0,11.51,2.42,70530.94406280668
2019,2763,Arlesheim,1483.157538475013,45.0,20.04,2.13,87560.1473380807
2019,2822,Augst,1397.6236808939434,53.0,23.41,1.95,65928.70914542729
2019,2882,Bennwil,1218.8682574742245,64.0,6.91,2.51,64675.936
2019,2764,Biel-Benken,1698.32840843665,46.0,14.75,2.41,96366.36322418136
2019,2765,Binningen,1483.7723554753584,48.0,27.23,2.11,99143.89968524723
2019,2766,Birsfelden,1240.327754709988,62.0,30.68,1.96,55344.92862509391
2019,2781,Blauen,1348.3292827502637,59.5,10.2,2.27,68808.95056179776
2019,2767,Bottmingen,1621.2611317167546,45.0,26.64,2.23,118429.55467590301
2019,2883,Bretzwil,1302.674778493104,58.0,6.59,2.48,51903.737068965514
2019,2782,Brislach,1288.1669140867973,57.0,11.04,2.45,55544.705825242716
2019,2823,Bubendorf,1409.8434773887711,60.0,15.54,2.38,66473.90233626963
2019,2843,Buckten,1038.4756633752977,64.0,19.94,2.29,59580.07055961071
2019,2844,Buus,1351.425676623017,60.0,9.38,2.37,58747.944024205746
2019,2842,Böckten,1446.2594309278093,59.0,11.57,2.34,73513.12788259958
2019,2884,Diegten,1295.3203612115617,56.0,10.98,2.43,59902.719170984456
2019,2784,Dittingen,1148.4646002772447,66.0,15.63,2.11,52686.15711252654
2019,2785,Duggingen,1406.41740797045,56.0,19.46,2.33,66939.40661686232
2019,2885,Eptingen,1316.368242709464,65.0,11.59,2.23,51800.627627627626
2019,2768,Ettingen,1495.3949797802488,61.0,18.51,2.21,70915.97389984825
2019,2824,Frenkendorf,1279.0637491041582,57.0,32.57,2.24,62778.4978980557
2019,2825,Füllinsdorf,1294.249844362167,60.0,29.49,2.14,68707.42980561555
2019,2846,Gelterkinden,1311.480224414698,59.0,18.68,2.24,59016.050064184856
2019,2826,Giebenach,1339.326520061554,57.0,22.27,2.36,65578.36
2019,2786,Grellingen,1304.9022190560192,67.0,27.72,2.23,54513.088586030666
2019,2827,Hersberg,1833.8583641180123,55.0,12.35,2.35,73069.15942028986
2019,2886,Hölstein,1463.3744023470726,63.0,18.67,2.43,61424.15595716198
2019,2849,Itingen,1386.8300826442392,63.0,20.33,2.4,64887.278004905966
2019,2850,Känerkinden,1520.948479066269,63.0,11.19,2.31,63620.67256637168
2019,2888,Langenbruck,1077.795015267444,54.0,18.93,2.1,43906.57270029673
2019,2787,Laufen,1237.863743359565,59.0,26.06,2.16,54733.69191236138
2019,2828,Lausen,1398.6353033867194,55.0,28.62,2.29,60567.9917773561
2019,2889,Lauwil,1424.4272997120613,60.0,8.07,2.35,48831.056603773584
2019,2788,Liesberg,1003.3814538729586,61.0,13.06,2.07,50890.17414248021
2019,2829,Liestal,1321.588942859754,65.0,27.6,2.18,61482.38120075464
2019,2830,Lupsingen,1478.9669870360722,58.0,11.19,2.41,70151.69303423849
2019,2852,Läufelfingen,1053.8248619119106,64.2,11.96,2.36,59093.73384030418
2019,2770,Muttenz,1362.2919186590302,56.0,21.27,2.18,70060.94710236505
2019,2769,Münchenstein,1346.3491723541456,59.0,26.33,2.18,64781.08797615963
2019,2789,Nenzlingen,1259.2182383792947,62.5,11.33,2.42,62735.89605734767
2019,2772,Pfeffingen,1857.1356774636145,45.0,14.91,2.44,102874.20406681192
2019,2831,Pratteln,1291.5752997396116,58.5,41.75,2.21,56464.13424821002
2019,2832,Ramlinsburg,1605.2245101732171,58.0,11.48,2.38,79005.52876106194
2019,2893,Reigoldswil,1277.093357818161,64.0,12.37,2.32,53458.11902339776
2019,2790,Roggenburg,1342.7341766811066,64.0,11.79,2.14,42470.37128712871
2019,2858,Rothenfluh,1292.823099535848,62.0,9.09,2.29,59703.57415254237
2019,2791,Röschenz,1445.3178793626182,54.0,9.67,2.35,69084.59603789836
2019,2859,Rümlingen,1332.3087819232485,63.0,21.76,2.51,53541.58403361344
2019,2774,Schönenbuch,1532.193521153935,54.0,12.55,2.35,80271.63529411764
2019,2833,Seltisberg,1335.8557083999874,52.0,7.69,2.31,83431.64066496164
2019,2775,Therwil,1576.08932818745,52.0,17.58,2.29,77825.14873469388
2019,2894,Titterten,1349.1236243109377,65.0,10.44,2.24,56183.16030534351
2019,2792,Wahlen,1296.4919014122638,56.0,12.05,2.34,55005.26800847457
2019,2895,Waldenburg,1202.621131288579,69.5,30.21,2.1,49539.531468531466
2019,2866,Wintersingen,1521.121913733586,57.0,9.49,2.23,60019.17857142857
